county2,1971,1981,1991,2001,2012,2012,2012,2011,1970,1970,1980,1980,1990,1990,2000,2000,2012,2012,2012,2010,2010,1970,1970,1980,1980,1990,1990,2000,2000,2012,2012,2012,2010,2010
United States,10.7,16.2,20.3,24.4,28.5,30.5,17.6,33.7,11.5,6.7,17.5,10.5,21.9,12.3,26.2,14.9,28.5,30.5,17.6,35.7,21.1,11.5,6.7,17.5,10.5,21.9,12.3,26.2,14.9,28.5,30.5,17.6,35.7,21.1
Alabama,7.8,12.2,15.7,19.0,22.3,25.2,13.5,26.7,8.9,5.3,13.7,8.2,17.8,9.8,21.7,11.6,22.3,25.2,13.5,29.8,16.2,8.9,5.3,13.7,8.2,17.8,9.8,21.7,11.6,22.3,25.2,13.5,29.8,16.2
Alaska,14.1,21.1,23.0,24.7,27.5,29.8,22.9,30.6,15.7,11.9,22.8,18.2,25.5,18.9,27.0,20.7,27.5,29.8,22.9,33.2,25.4,15.7,11.9,22.8,18.2,25.5,18.9,27.0,20.7,27.5,29.8,22.9,33.2,25.4
Arizona,12.6,17.4,20.3,23.5,26.6,27.3,14.0,31.2,13.0,7.5,17.9,10.3,21.0,9.8,24.2,12.4,26.6,27.3,14.0,31.9,16.7,13.0,7.5,17.9,10.3,21.0,9.8,24.2,12.4,26.6,27.3,14.0,31.9,16.7
Arkansas,6.7,10.8,13.3,16.7,19.8,23.9,13.9,24.3,8.2,5.1,13.3,8.3,16.3,9.8,20.2,12.2,19.8,23.9,13.9,29.1,16.5,8.2,5.1,13.3,8.3,16.3,9.8,20.2,12.2,19.8,23.9,13.9,29.1,16.5
California,13.4,19.6,23.4,26.6,30.5,30.7,21.4,35.3,13.6,8.7,19.7,14.6,23.6,15.6,26.8,18.0,30.5,30.7,21.4,35.5,24.3,13.6,8.7,19.7,14.6,23.6,15.6,26.8,18.0,30.5,30.7,21.4,35.5,24.3
Colorado,14.9,23.0,27.0,32.7,36.7,38.0,28.6,42.8,16.2,9.1,24.0,17.2,28.2,19.8,34.0,25.0,36.7,38.0,28.6,44.2,33.7,16.2,9.1,24.0,17.2,28.2,19.8,34.0,25.0,36.7,38.0,28.6,44.2,33.7
Connecticut,13.7,20.7,27.2,31.4,36.2,36.4,32.6,40.6,13.8,12.0,20.8,18.6,27.3,25.0,31.6,27.5,36.2,36.4,32.6,40.8,36.2,13.8,12.0,20.8,18.6,27.3,25.0,31.6,27.5,36.2,36.4,32.6,40.8,36.2
Delaware,13.1,17.5,21.4,25.0,28.5,28.5,,33.6,13.1,,17.5,,21.4,,25.0,,28.5,28.5,,33.6,,13.1,,17.5,,21.4,,25.0,,28.5,28.5,,33.6,
District of Columbia,17.8,27.5,33.3,39.1,51.2,51.2,,61.4,17.8,,27.5,,33.3,,39.1,,51.2,51.2,,61.4,,17.8,,27.5,,33.3,,39.1,,51.2,51.2,,61.4,
Florida,10.3,14.9,18.3,22.3,26.2,26.7,13.1,31.5,10.5,6.2,15.1,8.9,18.6,10.8,22.8,11.8,26.2,26.7,13.1,32.1,15.9,10.5,6.2,15.1,8.9,18.6,10.8,22.8,11.8,26.2,26.7,13.1,32.1,15.9
Georgia,9.2,14.6,19.3,24.3,27.8,30.7,14.7,33.0,10.6,5.3,16.5,8.5,21.8,10.1,27.2,12.5,27.8,30.7,14.7,36.1,17.9,10.6,5.3,16.5,8.5,21.8,10.1,27.2,12.5,27.8,30.7,14.7,36.1,17.9
Hawaii,14.0,20.3,22.9,26.2,29.6,30.6,25.4,34.3,15.0,7.4,21.2,15.3,23.8,17.8,27.2,21.3,29.6,30.6,25.4,35.3,30.1,15.0,7.4,21.2,15.3,23.8,17.8,27.2,21.3,29.6,30.6,25.4,35.3,30.1
Idaho,10.0,15.8,17.7,21.7,24.7,27.0,20.4,29.1,11.1,8.6,17.2,14.0,19.4,15.1,23.9,18.0,24.7,27.0,20.4,31.5,24.1,11.1,8.6,17.2,14.0,19.4,15.1,23.9,18.0,24.7,27.0,20.4,31.5,24.1
Illinois,10.3,16.2,21.0,26.1,31.1,33.2,16.3,36.2,11.0,6.1,17.4,9.5,22.6,11.0,28.0,13.5,31.1,33.2,16.3,38.4,19.3,11.0,6.1,17.4,9.5,22.6,11.0,28.0,13.5,31.1,33.2,16.3,38.4,19.3
Indiana,8.3,12.5,15.6,19.4,23.0,25.6,14.5,27.8,9.2,5.8,13.9,8.7,17.4,10.0,21.8,12.0,23.0,25.6,14.5,30.7,17.8,9.2,5.8,13.9,8.7,17.4,10.0,21.8,12.0,23.0,25.6,14.5,30.7,17.8
Iowa,9.1,13.9,16.9,21.2,25.3,31.1,18.0,29.7,11.7,6.9,17.5,10.7,21.1,12.5,26.3,15.5,25.3,31.1,18.0,35.5,21.5,11.7,6.9,17.5,10.7,21.1,12.5,26.3,15.5,25.3,31.1,18.0,35.5,21.5
Kansas,11.4,17.0,21.1,25.8,30.0,35.1,20.0,34.4,13.7,8.6,20.5,12.6,25.4,14.5,30.6,17.6,30.0,35.1,20.0,39.6,23.1,13.7,8.6,20.5,12.6,25.4,14.5,30.6,17.6,30.0,35.1,20.0,39.6,23.1
Kentucky,7.2,11.1,13.6,17.1,21.0,26.3,13.9,25.7,8.9,5.2,13.8,7.9,17.4,9.1,21.8,11.3,21.0,26.3,13.9,31.6,17.4,8.9,5.2,13.8,7.9,17.4,9.1,21.8,11.3,21.0,26.3,13.9,31.6,17.4
Louisiana,9.0,13.9,16.1,18.7,21.4,23.0,13.6,25.5,9.7,6.3,15.0,9.3,17.4,10.3,20.1,11.9,21.4,23.0,13.6,27.4,15.5,9.7,6.3,15.0,9.3,17.4,10.3,20.1,11.9,21.4,23.0,13.6,27.4,15.5
