county2,1971,1981,1991,2001,2012,2012,2012,2011,1970,1970,1980,1980,1990,1990,2000,2000,2012,2012,2012,2010,2010,1970,1970,1980,1980,1990,1990,2000,2000,2012,2012,2012,2010,2010
United States,31.1,34.6,30.0,28.6,28.2,26.8,36.4,26.5,31.6,28.9,34.4,35.3,28.9,35.3,27.2,36.1,28.2,26.8,36.4,25.0,35.5,31.6,28.9,34.4,35.3,28.9,35.3,27.2,36.1,28.2,26.8,36.4,25.0,35.5
Alabama,25.9,31.8,29.4,30.4,31.3,30.0,35.3,30.5,27.2,22.6,32.7,29.5,29.3,29.9,29.4,33.0,31.3,30.0,35.3,28.8,36.0,27.2,22.6,32.7,29.5,29.3,29.9,29.4,33.0,31.3,30.0,35.3,28.8,36.0
Alaska,37.7,38.9,28.7,27.9,27.1,25.2,30.9,28.5,42.4,30.9,40.1,36.9,26.9,31.9,25.5,32.1,27.1,25.2,30.9,26.1,33.3,42.4,30.9,40.1,36.9,26.9,31.9,25.5,32.1,27.1,25.2,30.9,26.1,33.3
Arizona,31.6,34.3,26.1,24.3,24.4,24.1,30.5,23.5,32.1,25.6,34.5,31.7,26.0,28.8,24.1,27.7,24.4,24.1,30.5,23.2,29.5,32.1,25.6,34.5,31.7,26.0,28.8,24.1,27.7,24.4,24.1,30.5,23.2,29.5
Arkansas,25.6,33.2,32.7,34.1,35.1,32.3,39.3,34.1,28.8,22.6,34.6,31.7,31.9,33.7,32.2,36.6,35.1,32.3,39.3,31.0,39.2,28.8,22.6,34.6,31.7,31.9,33.7,32.2,36.6,35.1,32.3,39.3,31.0,39.2
California,32.8,31.4,22.3,20.1,20.7,20.5,26.6,20.4,32.8,34.2,31.3,38.2,22.1,30.0,19.9,27.5,20.7,20.5,26.6,20.3,26.7,32.8,34.2,31.3,38.2,22.1,30.0,19.9,27.5,20.7,20.5,26.6,20.3,26.7
Colorado,34.4,34.6,26.5,23.2,22.4,21.6,27.2,20.6,34.9,32.3,34.4,35.6,25.7,31.1,22.4,27.8,22.4,21.6,27.2,19.6,27.3,34.9,32.3,34.4,35.6,25.7,31.1,22.4,27.8,22.4,21.6,27.2,19.6,27.3
Connecticut,31.7,34.4,29.5,28.5,27.9,27.7,30.4,26.1,31.7,32.3,34.4,35.4,29.4,30.9,28.3,31.4,27.9,27.7,30.4,25.9,29.5,31.7,32.3,34.4,35.4,29.4,30.9,28.3,31.4,27.9,27.7,30.4,25.9,29.5
Delaware,31.7,36.2,32.7,31.4,31.6,31.6,,30.4,31.7,,36.2,,32.7,,31.4,,31.6,31.6,,30.4,,31.7,,36.2,,32.7,,31.4,,31.6,31.6,,30.4,
District of Columbia,26.2,25.5,21.2,20.6,19.1,19.1,,15.5,26.2,,25.5,,21.2,,20.6,,19.1,19.1,,15.5,,26.2,,25.5,,21.2,,20.6,,19.1,19.1,,15.5,
