county2,1971,1981,1991,2001,2012,2012,2012,2011,1970,1970,1980,1980,1990,1990,2000,2000,2012,2012,2012,2010,2010,1970,1970,1980,1980,1990,1990,2000,2000,2012,2012,2012,2010,2010
United States,10.6,15.7,24.9,27.4,29.0,28.9,29.4,28.7,11.1,8.4,16.4,12.4,25.7,20.9,27.8,25.4,29.0,28.9,29.4,28.4,30.9,11.1,8.4,16.4,12.4,25.7,20.9,27.8,25.4,29.0,28.9,29.4,28.4,30.9
Alabama,7.5,12.5,21.7,25.9,29.0,29.6,27.3,30.2,8.3,5.5,13.6,9.9,23.1,18.0,26.9,23.1,29.0,29.6,27.3,30.2,30.5,8.3,5.5,13.6,9.9,23.1,18.0,26.9,23.1,29.0,29.6,27.3,30.2,30.5
Alaska,14.9,22.6,34.9,35.7,37.0,37.6,35.9,34.2,16.9,11.9,24.5,19.4,37.6,30.2,37.8,32.1,37.0,37.6,35.9,34.9,32.8,16.9,11.9,24.5,19.4,37.6,30.2,37.8,32.1,37.0,37.6,35.9,34.9,32.8
Arizona,13.9,20.6,32.2,33.1,34.4,34.4,34.4,33.6,14.2,9.4,21.0,15.9,32.8,24.3,33.3,30.3,34.4,34.4,34.4,33.4,37.4,14.2,9.4,21.0,15.9,32.8,24.3,33.3,30.3,34.4,34.4,34.4,33.4,37.4
Arkansas,7.6,11.5,20.3,24.5,28.4,29.1,27.3,29.3,9.5,5.9,13.7,9.2,23.2,17.0,26.6,22.0,28.4,29.1,27.3,29.1,29.6,9.5,5.9,13.7,9.2,23.2,17.0,26.6,22.0,28.4,29.1,27.3,29.1,29.6
California,16.4,22.4,30.5,30.0,29.9,29.6,39.2,28.5,16.5,13.6,22.4,21.9,30.5,32.4,29.9,36.7,29.9,29.6,39.2,28.3,37.8,16.5,13.6,22.4,21.9,30.5,32.4,29.9,36.7,29.9,29.6,39.2,28.3,37.8
Colorado,14.6,21.1,31.0,31.0,30.9,30.7,31.9,28.9,15.2,11.4,21.6,18.7,31.5,27.6,31.1,30.7,30.9,30.7,31.9,28.7,30.3,15.2,11.4,21.6,18.7,31.5,27.6,31.1,30.7,30.9,30.7,31.9,28.7,30.3
Connecticut,10.7,15.3,22.5,24.1,24.9,24.7,28.3,24.4,10.7,10.1,15.2,16.6,22.4,25.0,23.9,27.0,24.9,24.7,28.3,24.2,28.2,10.7,10.1,15.2,16.6,22.4,25.0,23.9,27.0,24.9,24.7,28.3,24.2,28.2
Delaware,9.8,15.0,23.4,26.1,27.5,27.5,,27.0,9.8,,15.0,,23.4,,26.1,,27.5,27.5,,27.0,,9.8,,15.0,,23.4,,26.1,,27.5,27.5,,27.0,
District of Columbia,11.2,14.1,18.6,18.2,17.3,17.3,,15.3,11.2,,14.1,,18.6,,18.2,,17.3,17.3,,15.3,,11.2,,14.1,,18.6,,18.2,,17.3,17.3,,15.3,
Florida,11.6,16.8,26.0,28.8,29.8,29.9,27.7,29.6,11.8,6.7,17.0,12.3,26.2,20.5,29.0,23.9,29.8,29.9,27.7,29.7,27.4,11.8,6.7,17.0,12.3,26.2,20.5,29.0,23.9,29.8,29.9,27.7,29.7,27.4
Georgia,9.0,13.3,22.0,25.6,27.7,28.4,24.9,28.0,10.1,5.8,14.7,8.9,23.8,15.3,26.9,20.4,27.7,28.4,24.9,28.0,28.4,10.1,5.8,14.7,8.9,23.8,15.3,26.9,20.4,27.7,28.4,24.9,28.0,28.4
Hawaii,12.0,18.4,28.5,29.9,32.3,31.9,33.6,31.5,12.6,8.0,18.4,18.8,28.4,29.0,29.5,32.0,32.3,31.9,33.6,31.1,33.1,12.6,8.0,18.4,18.8,28.4,29.0,29.5,32.0,32.3,31.9,33.6,31.1,33.1
Idaho,15.0,21.4,31.7,34.6,35.9,36.5,34.9,35.5,16.2,13.5,22.3,20.1,33.1,29.6,35.4,33.2,35.9,36.5,34.9,35.7,35.1,16.2,13.5,22.3,20.1,33.1,29.6,35.4,33.2,35.9,36.5,34.9,35.7,35.1
Illinois,10.4,15.2,25.2,27.6,28.7,28.1,33.1,28.3,10.8,8.0,15.8,11.7,25.6,22.7,27.5,28.6,28.7,28.1,33.1,27.5,34.5,10.8,8.0,15.8,11.7,25.6,22.7,27.5,28.6,28.7,28.1,33.1,27.5,34.5
Indiana,8.5,12.1,21.9,25.5,28.6,29.1,27.1,28.9,9.1,6.9,12.9,9.8,23.0,18.6,26.4,22.9,28.6,29.1,27.1,28.8,29.2,9.1,6.9,12.9,9.8,23.0,18.6,26.4,22.9,28.6,29.1,27.1,28.8,29.2
Iowa,11.1,14.7,24.7,28.8,32.2,31.8,32.8,32.5,11.9,10.5,15.6,13.8,25.9,23.5,29.1,28.5,32.2,31.8,32.8,31.4,34.1,11.9,10.5,15.6,13.8,25.9,23.5,29.1,28.5,32.2,31.8,32.8,31.4,34.1
