State,Unemployment Percentage,Admin Employed,Admin Unemployed,Security Employed,Security Unemployed,Janitor Employed,Janitor Unemployed,Sales Employed,Sales Unemployed
"Illinois, High",5.991666666666666,12.289156626506024,9.195402298850574,25.0,25.702811244979916,11.176470588235295,7.246376811594203,24.0,17.94871794871795
"Illinois, Low",5.991666666666666,8.934707903780069,5.128205128205128,30.303030303030305,19.420289855072465,6.695464362850973,0.0,9.523809523809524,22.895622895622896
"Florida, High",5.5249999999999995,9.803921568627452,32.900432900432904,46.666666666666664,26.543209876543212,9.346846846846848,30.45977011494253,23.809523809523807,16.535433070866144
"Florida, Low",5.5249999999999995,10.01727115716753,22.45614035087719,45.83333333333333,23.076923076923077,8.018018018018019,29.218106995884774,21.21212121212121,20.533333333333335
"Massachusetts, High",4.791666666666667,20.98765432098765,30.76923076923077,30.952380952380953,24.0,24.264705882352942,39.21568627450981,40.74074074074074,30.747126436781606
"Massachusetts, Low",4.791666666666667,16.071428571428573,33.33333333333333,29.629629629629626,21.951219512195124,14.786967418546364,27.941176470588236,27.27272727272727,21.522309711286088
"Texas, High",4.483333333333333,11.54562383612663,1.4492753623188406,33.33333333333333,31.372549019607842,10.652920962199312,19.696969696969695,0.0,22.22222222222222
"Texas, Low",4.483333333333333,6.605222734254992,18.75,50.0,27.536231884057973,8.333333333333332,25.0,10.0,26.95035460992908
"Utah, High",3.5083333333333333,20.43010752688172,41.17647058823529,33.33333333333333,43.75,19.30783242258652,45.45454545454545,45.83333333333333,45.97701149425287
"Utah, Low",3.5083333333333333,17.48878923766816,33.33333333333333,33.33333333333333,40.57971014492754,14.583333333333334,46.666666666666664,44.44444444444444,41.30434782608695
"Pennsylvania, High",5.391666666666667,24.561403508771928,36.666666666666664,33.33333333333333,22.76422764227642,36.03603603603604,37.5,35.8974358974359,35.483870967741936
"Pennsylvania, Low",5.391666666666667,23.333333333333332,40.0,47.05882352941176,27.976190476190478,13.023255813953488,27.083333333333332,35.8974358974359,31.182795698924732
"Arizona, High",6.074999999999999,12.100456621004566,44.79166666666667,27.77777777777778,23.333333333333332,12.930011862396205,33.33333333333333,43.13725490196079,28.000000000000004
"Arizona, Low",6.074999999999999,11.241830065359478,42.22222222222222,48.333333333333336,23.809523809523807,9.701492537313433,46.03174603174603,42.857142857142854,22.76422764227642
"New York, High",5.2333333333333325,6.3589743589743595,4.878048780487805,22.22222222222222,9.13978494623656,3.7940379403794036,6.2015503875969,2.7777777777777777,7.711442786069651
"New York, Low",5.2333333333333325,5.47008547008547,10.416666666666668,4.761904761904762,7.777777777777778,3.793103448275862,8.843537414965986,11.11111111111111,7.733333333333333
"Michigan, High",5.425000000000001,9.824561403508772,35.8974358974359,20.0,33.33333333333333,12.264150943396226,33.33333333333333,33.33333333333333,26.38888888888889
"Michigan, Low",5.425000000000001,14.678899082568808,27.692307692307693,40.0,26.881720430107524,11.209439528023598,10.0,6.666666666666667,17.46031746031746
"California, High",6.2250000000000005,14.098837209302326,12.994350282485875,30.985915492957744,10.54421768707483,7.035175879396985,18.115942028985508,30.864197530864196,18.06853582554517
"California, Low",6.2250000000000005,8.007448789571695,8.333333333333332,26.47058823529412,21.26436781609195,5.3078556263269645,4.4673539518900345,19.0,14.161220043572984
"North Carolina, High",5.658333333333334,6.666666666666667,27.77777777777778,33.33333333333333,18.666666666666668,11.11111111111111,41.66666666666667,33.33333333333333,17.24137931034483
"North Carolina, Low",5.658333333333334,5.555555555555555,26.31578947368421,33.33333333333333,27.27272727272727,4.861111111111112,33.33333333333333,22.22222222222222,22.916666666666664
